"B006","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F141","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
3,2,2,3,2,1,10,1,4,1,3,3,7,1,4,1,35,2,1,8,0,1,10,NA
1,1,2,3,2,5,1,10,4,1,1,4,10,1,1,1,21,2,1,3,1,2,1,NA
1,2,2,2,2,7,4,1,1,4,1,6,6,7,3,1,35,2,0,8,1,3,7,76021
4,1,2,1,2,2,9,3,1,5,1,3,10,1,2,2,21,1,0,7,1,2,NA,NA
1,2,2,2,2,8,2,4,1,2,1,1,2,7,3,1,27,2,1,8,1,2,6,NA
NA,2,2,3,2,7,3,3,2,3,2,1,6,1,4,1,45,1,1,8,0,NA,3,NA
2,1,2,2,2,6,4,5,2,5,5,3,5,2,3,2,55,1,1,8,1,3,3,NA
3,2,2,1,2,2,3,3,3,1,1,1,1,1,3,1,27,1,1,8,1,2,2,NA
1,1,2,3,2,8,5,5,2,1,5,1,10,10,4,1,45,2,1,8,1,4,2,76002
3,2,2,2,1,10,1,1,6,7,2,5,8,1,4,1,27,3,0,8,1,2,8,NA
1,1,1,3,2,8,5,5,8,1,1,1,1,1,4,2,21,2,1,8,1,NA,5,NA
1,2,2,3,2,7,7,7,4,1,1,1,5,1,4,2,35,2,1,4,0,1,5,NA
4,1,2,3,2,6,10,1,6,1,1,NA,10,1,4,2,21,2,1,2,1,2,5,NA
4,2,2,3,2,9,10,10,6,1,1,1,1,1,4,2,55,1,1,7,1,2,10,NA
1,2,2,3,1,10,1,1,2,2,1,1,1,1,3,1,35,2,0,7,1,3,5,NA
2,1,1,3,2,10,1,1,7,1,1,1,10,1,4,1,35,2,1,2,1,3,5,NA
3,1,3,3,2,10,10,5,2,1,1,1,1,1,3,2,27,2,1,7,0,5,5,NA
4,1,2,3,2,1,10,10,8,1,1,1,1,1,4,1,55,2,1,7,1,2,5,NA
4,3,2,3,2,1,1,10,6,1,1,1,1,1,4,1,21,2,1,2,1,1,3,NA
1,1,2,2,2,4,1,1,2,4,5,3,10,2,3,1,21,2,0,8,1,3,4,NA
1,2,2,3,2,7,1,1,2,2,1,1,7,5,3,1,35,2,1,8,1,3,4,NA
