"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","Y001","E033","E179WVS","E182"
2,3,2,3,2,8,3,2,3,10,1,1,8,3,1,64,2,1,2,8,76005,76002
2,2,2,3,2,3,7,4,6,5,1,1,1,4,2,21,2,0,2,1,76001,76002
1,3,3,3,2,1,1,1,6,1,4,NA,9,4,1,35,2,1,5,7,76007,NA
1,3,2,3,2,10,9,1,7,1,1,1,5,2,2,18,2,1,3,6,76019,76001
2,2,2,3,3,2,1,5,6,10,1,1,5,2,1,19,1,1,0,1,76001,76008
2,2,2,3,2,1,2,10,6,3,1,1,2,4,2,22,1,0,2,8,76001,NA
2,2,2,2,2,6,NA,4,8,1,1,1,1,4,1,47,2,1,2,9,76001,76014
2,2,2,3,2,1,1,2,8,2,1,1,1,2,2,50,1,0,2,10,76001,76009
1,3,2,2,1,10,1,3,6,1,1,1,5,2,2,20,2,0,3,NA,76001,76006
2,3,2,3,2,1,10,1,7,5,5,1,9,4,2,18,2,0,3,NA,76007,76006
1,2,2,2,2,2,4,4,1,4,10,8,10,2,1,42,2,1,4,3,NA,NA
2,3,2,3,2,5,2,2,6,1,4,4,4,4,1,35,2,1,4,5,76004,76001
1,3,3,3,2,10,5,3,6,4,6,3,5,3,2,44,2,1,3,7,NA,NA
1,2,2,3,3,1,5,5,6,5,5,1,5,4,1,33,2,1,2,5,76003,76002
1,3,2,3,2,3,NA,7,8,2,1,1,10,4,2,28,1,1,4,7,76001,76009
1,3,2,3,2,4,7,3,8,1,1,1,1,3,2,55,1,1,3,5,NA,NA
2,3,3,3,3,1,10,5,6,10,1,1,2,4,1,22,2,1,0,9,76007,76010
2,2,2,2,2,8,8,1,6,10,10,10,10,4,1,56,2,1,0,5,76002,76006
2,2,2,3,2,1,1,1,6,5,6,1,2,4,2,25,1,0,2,1,76010,76008
2,3,2,2,2,8,NA,4,1,7,1,9,10,4,1,33,2,1,3,5,NA,NA
1,3,3,3,1,1,5,1,6,3,5,5,10,2,1,36,2,1,3,1,NA,76014
1,3,2,1,3,10,10,1,6,1,1,1,10,4,1,50,2,1,2,10,76003,76004
2,3,2,3,3,10,1,1,7,1,5,10,5,4,1,51,2,1,4,1,76004,NA
2,2,2,3,2,1,1,1,6,1,1,1,7,3,1,29,3,1,5,6,76001,76002
2,3,2,2,1,1,8,1,1,10,1,1,1,4,1,18,1,0,2,7,76003,76013
2,3,2,3,2,1,5,1,1,9,1,4,4,3,2,28,2,0,2,9,76001,76006
