"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS","E182"
1,1,2,3,1,1,1,8,1,10,10,10,1,1,27,2,1,8,0,2,6,76003,76002
2,3,3,2,10,2,10,1,3,8,1,6,3,2,27,1,0,8,1,3,5,4,4
1,1,3,3,8,8,9,8,3,5,3,4,3,2,23,3,0,8,1,2,9,76003,76010
2,1,1,3,1,8,9,3,1,5,6,6,3,1,33,1,1,8,0,1,9,76002,4
1,3,3,3,6,7,8,8,2,2,2,6,2,2,47,1,0,8,0,1,7,76006,76002
2,1,1,3,9,6,3,7,3,8,4,6,4,1,23,2,0,8,0,2,4,76006,4
1,1,1,3,9,6,6,8,1,1,1,1,3,2,53,3,1,8,1,3,6,4,4
2,1,1,3,9,2,2,6,7,7,7,7,4,2,30,2,1,8,0,4,3,76002,76001
1,1,3,3,3,8,5,6,2,5,4,5,3,1,22,3,1,8,1,3,7,76003,76007
1,1,1,3,3,2,1,7,2,5,6,7,3,2,44,2,0,8,0,3,8,76002,76010
1,3,2,2,9,1,5,7,5,3,1,9,4,1,39,1,1,7,0,2,1,76002,4
1,2,2,3,8,1,1,8,2,5,5,5,3,1,59,3,1,7,1,3,6,76003,NA
3,2,2,2,9,6,5,8,1,5,10,9,1,1,43,1,1,7,1,2,5,4,4
NA,1,3,3,4,5,7,3,2,2,1,1,3,1,44,1,1,7,0,2,6,76002,76005
NA,2,2,1,1,1,10,6,1,1,1,10,3,1,21,1,1,7,0,1,1,76002,76029
1,1,2,3,1,10,10,5,1,1,1,1,4,2,40,2,0,7,0,3,1,76001,76002
2,1,2,2,3,8,10,7,1,9,1,10,4,2,43,1,1,7,1,2,1,76002,76006
2,2,2,3,6,5,5,2,6,4,3,5,4,1,68,3,1,7,1,2,6,76003,4
2,3,2,2,3,5,5,1,7,5,1,5,1,1,32,1,1,7,1,3,3,76001,4
NA,3,3,2,4,6,4,8,1,1,1,1,3,2,37,1,1,7,1,NA,6,76002,76003
2,2,2,3,10,10,10,7,1,1,1,10,4,2,35,1,0,5,1,4,10,76003,76006
1,1,2,3,1,5,1,6,10,1,1,1,1,1,26,1,1,5,1,3,5,4,5
1,2,2,3,10,1,1,2,1,10,1,10,3,1,76,1,1,5,1,0,1,NA,NA
1,2,2,3,1,1,10,8,1,1,1,10,3,1,55,1,1,5,0,1,5,76001,76002
1,1,2,3,7,3,1,7,1,NA,1,8,4,1,36,2,1,5,0,2,5,76002,76006
1,1,2,3,1,1,1,5,1,1,1,5,3,1,80,2,1,5,1,0,1,NA,4
1,2,2,2,3,4,5,2,1,NA,1,10,3,2,59,1,0,5,0,3,3,4,4
1,2,2,3,1,1,10,2,1,5,1,10,2,1,43,1,1,5,0,2,1,76001,76002
NA,3,2,2,10,1,10,2,1,1,1,1,4,2,28,1,0,5,0,1,10,76002,76010
1,3,2,3,5,5,6,2,1,1,1,10,4,1,27,2,1,5,0,0,5,4,4
2,2,2,2,10,9,10,3,10,5,1,10,3,2,35,1,0,7,0,2,7,76002,76001
2,3,2,2,3,6,7,8,7,1,1,2,3,2,23,1,0,7,0,3,3,76002,76001
2,3,2,2,1,10,1,5,7,6,4,10,2,2,36,1,1,7,1,2,6,76002,76001
2,1,2,2,2,9,1,6,7,6,1,8,3,1,33,2,1,7,1,2,7,76001,76010
2,2,2,2,9,8,5,6,8,5,3,7,2,1,23,1,1,7,1,1,7,76002,76029
2,1,2,2,10,1,5,7,8,7,1,9,3,2,46,1,0,7,1,2,5,76002,76003
1,1,2,3,5,4,2,2,1,9,5,9,2,2,57,3,1,7,1,2,3,76004,76003
1,1,2,2,10,1,1,6,9,10,6,10,3,2,24,3,0,7,1,2,3,76002,76010
2,2,2,2,6,9,7,2,8,5,1,8,3,2,36,1,1,7,1,3,8,76002,4
2,2,2,2,10,8,4,5,7,5,6,9,2,1,27,2,1,7,0,1,7,76002,76001
1,2,2,3,10,1,1,8,1,10,1,7,3,2,77,2,1,8,1,1,NA,4,4
1,1,2,3,10,1,1,6,1,8,4,7,2,2,47,3,1,8,0,2,4,76002,76029
1,1,2,3,5,1,1,2,1,5,5,1,3,1,43,3,1,8,1,3,8,4,76002
1,1,1,3,1,1,10,3,1,5,1,5,3,2,79,1,1,8,1,2,8,4,76002
2,2,2,2,8,3,1,2,1,1,1,1,3,2,69,2,1,8,1,3,NA,NA,76002
1,1,1,3,3,10,5,7,1,3,1,4,4,2,35,2,1,8,1,3,1,76002,76001
2,1,1,3,4,6,4,6,7,8,6,9,3,1,31,3,0,8,1,2,6,4,76029
1,1,3,3,8,10,1,2,10,1,1,10,1,1,31,2,1,8,1,1,5,4,4
1,3,2,3,7,3,2,7,9,1,1,4,3,2,43,3,0,8,1,2,5,4,76010
1,1,1,3,8,10,1,7,10,5,1,5,3,2,60,1,1,8,1,2,10,4,4
1,1,2,3,4,NA,3,6,8,8,3,3,4,1,38,1,1,7,0,0,8,76002,76006
1,1,2,3,6,7,1,5,1,5,1,NA,4,2,34,1,1,7,1,3,1,76002,4
2,2,2,3,4,10,9,5,8,2,2,2,4,2,42,1,0,7,0,0,3,76002,4
2,1,2,3,4,9,8,6,3,7,1,8,4,1,56,1,1,7,0,2,8,76002,76007
1,1,1,3,10,8,3,6,8,5,5,10,4,2,37,1,0,7,1,1,NA,76002,4
1,1,2,3,9,10,5,6,3,9,5,10,1,2,24,1,0,7,0,3,NA,76002,76029
2,1,2,3,8,9,1,8,1,1,1,7,4,2,40,3,1,7,1,2,5,76007,4
1,1,2,3,9,9,1,2,8,1,1,8,3,2,21,2,0,7,0,2,NA,76003,4
1,2,2,3,7,7,3,2,9,2,1,3,4,2,44,1,0,7,0,0,NA,76002,76004
2,2,1,3,10,10,3,2,5,4,3,10,2,2,22,1,0,7,0,2,NA,76001,76002
1,1,2,3,1,1,5,7,1,5,1,1,2,1,46,1,1,3,0,2,1,76002,4
2,1,2,3,10,5,1,3,1,5,1,1,3,1,26,1,1,3,1,0,5,76002,4
2,1,2,3,1,10,2,8,1,1,1,10,3,2,55,1,1,3,0,1,10,76002,4
2,1,2,3,1,9,10,6,1,10,1,10,3,2,21,2,0,3,1,2,9,4,4
2,2,2,3,1,NA,5,2,1,1,1,1,3,2,62,1,0,3,0,2,10,4,4
2,1,2,3,9,9,9,8,1,10,1,5,3,1,50,1,1,3,1,2,8,4,76002
2,1,2,3,9,2,1,6,1,10,1,10,3,1,42,1,0,3,1,3,5,4,4
2,2,2,3,1,9,2,6,1,1,1,1,3,2,29,1,0,3,1,2,9,4,4
1,1,2,3,9,9,1,7,1,1,1,1,4,2,39,1,1,3,1,1,10,76001,76002
1,2,2,3,1,1,1,7,1,2,1,5,3,2,30,1,0,3,1,1,10,76001,76010
1,1,2,2,8,10,5,2,1,1,10,5,4,1,22,1,1,7,0,0,5,76002,76003
1,1,2,3,10,6,6,1,6,5,1,5,3,1,33,1,1,7,0,4,5,4,4
1,1,2,3,2,5,2,8,1,1,1,1,4,1,40,1,0,7,0,0,10,4,4
2,2,2,3,1,4,7,6,7,1,1,1,3,1,59,1,1,7,0,1,6,76002,76003
2,1,2,3,3,5,1,2,2,5,1,10,3,1,32,2,1,7,0,3,7,76002,76003
1,1,2,3,10,10,1,8,1,1,1,10,4,1,65,1,1,7,1,2,7,4,4
2,1,2,2,8,3,3,8,8,6,4,8,2,2,25,2,1,7,1,2,5,4,4
1,1,1,3,10,10,1,1,1,10,1,10,3,2,35,1,1,7,1,3,NA,76002,76006
1,1,2,1,2,8,1,7,5,4,1,1,4,2,42,2,1,7,1,2,5,4,76002
2,1,2,3,10,10,1,1,1,3,1,8,2,1,37,1,0,7,0,3,5,76001,76006
1,1,2,3,1,8,9,2,1,1,1,10,3,1,37,2,1,7,0,2,1,76002,76001
NA,1,2,2,3,5,5,8,8,2,1,1,2,2,51,2,0,7,1,3,6,76002,4
3,3,2,2,1,5,5,2,1,5,1,8,3,1,25,2,0,7,0,1,5,76010,76002
3,3,2,3,6,5,6,6,6,2,2,2,4,1,28,2,0,7,0,0,5,76001,76003
1,3,2,2,6,5,6,2,5,NA,1,10,3,1,59,1,1,7,0,2,1,4,4
NA,1,2,3,6,6,6,1,7,3,1,1,3,2,29,1,1,7,1,2,3,76002,76005
NA,1,2,2,1,4,9,2,5,1,1,10,3,2,62,1,1,7,0,2,5,76002,4
1,3,2,3,5,1,7,2,1,1,1,1,4,1,45,1,1,7,0,1,5,76002,76001
1,2,2,2,3,1,5,7,1,1,1,10,3,1,50,1,1,7,1,0,3,76002,4
1,3,2,2,7,5,5,8,1,1,1,10,1,1,37,1,1,7,0,0,5,4,4
NA,2,3,2,1,1,1,7,5,1,1,5,3,2,64,1,0,8,0,0,5,76002,76006
2,1,2,2,1,1,2,2,2,2,1,5,4,2,50,1,1,8,1,1,8,4,76002
1,1,1,2,5,1,1,2,1,5,1,1,4,1,33,3,1,8,1,2,5,4,76003
2,1,2,3,5,10,10,8,2,5,2,5,4,2,45,2,1,8,1,3,NA,4,76002
1,1,2,3,10,5,10,7,1,3,1,4,3,2,32,2,1,8,1,3,10,4,4
2,1,2,3,4,4,3,8,2,2,1,3,2,2,20,2,0,8,1,2,7,76006,76002
1,1,2,3,5,6,3,7,1,1,1,5,3,2,68,NA,1,8,1,0,5,4,NA
1,3,1,2,1,3,1,8,8,4,5,2,3,1,26,2,1,8,0,0,5,76002,76010
1,1,2,3,8,4,1,6,4,2,2,6,4,2,24,1,1,8,1,1,8,76002,76010
2,3,1,3,1,8,3,6,1,1,1,5,3,1,36,2,1,8,1,NA,6,76029,4
2,2,2,3,2,6,3,6,2,2,8,8,3,1,52,2,1,7,1,2,2,76002,76010
2,2,2,3,1,9,2,6,3,3,3,7,3,1,21,2,0,7,0,2,1,76002,76010
1,3,2,3,6,1,4,8,10,1,1,1,3,2,70,1,1,7,1,3,6,4,4
1,2,2,3,2,8,2,6,5,5,5,5,3,2,37,2,0,7,1,1,3,76002,4
2,3,2,3,1,2,1,6,1,1,10,10,3,1,60,1,1,7,0,0,10,76003,4
2,2,2,3,2,7,2,6,8,2,2,8,3,1,29,1,1,7,0,2,2,76002,76006
2,3,2,3,1,2,2,6,10,1,10,10,3,1,57,1,1,7,1,2,2,76002,4
2,1,2,3,1,1,1,7,10,1,10,10,4,2,60,1,0,7,1,3,8,4,4
1,1,2,3,1,3,1,7,1,8,2,2,4,2,67,1,0,7,1,2,8,76002,76006
