"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X049","Y001","E033","E179WVS"
1,3,2,2,4,5,5,2,6,4,3,10,3,1,43,3,7,NA,10,4
2,2,3,3,1,1,1,7,5,3,6,8,3,1,78,3,7,2,4,76003
2,1,2,3,5,5,4,6,8,5,2,5,3,1,65,3,7,3,NA,4
NA,2,3,3,1,6,6,6,7,5,1,9,1,1,30,2,7,3,4,4
1,NA,3,1,3,7,6,2,5,4,8,8,2,1,36,2,7,NA,1,4
NA,2,3,NA,5,6,6,8,8,6,6,7,2,1,26,2,7,NA,6,4
NA,3,3,2,7,4,4,5,6,4,7,9,4,1,30,2,7,NA,1,4
1,1,2,2,1,3,1,8,10,1,1,7,4,1,48,2,7,2,1,4
1,1,3,3,7,1,1,1,1,10,1,10,2,1,43,2,4,5,10,4
1,1,2,2,10,1,NA,1,1,6,1,1,1,1,26,1,4,3,1,4
1,1,2,3,1,10,NA,8,1,1,1,1,4,1,30,3,4,4,5,4
2,2,2,3,10,1,NA,2,1,1,1,1,4,1,71,1,4,2,1,4
1,1,2,3,1,10,NA,7,1,1,1,1,4,1,35,2,4,2,10,4
2,1,2,3,10,1,NA,7,1,1,1,1,2,1,41,1,4,2,5,4
1,1,2,3,6,10,5,8,10,10,1,5,3,1,56,1,8,1,6,76002
1,1,2,2,5,1,1,6,8,1,3,10,3,1,33,3,8,2,1,76003
1,1,2,2,1,10,1,2,10,1,5,10,2,1,25,3,8,1,1,76012
2,1,2,1,1,1,NA,2,1,1,1,7,4,1,29,2,4,2,1,4
2,1,2,3,1,1,NA,7,1,1,1,1,2,1,21,3,4,3,1,4
2,2,2,3,10,5,NA,7,1,1,1,1,4,1,82,3,4,2,10,4
1,1,2,3,5,5,4,6,1,7,1,8,4,1,54,2,4,3,5,76012
1,1,2,2,9,1,10,8,1,1,1,1,2,1,19,2,4,3,5,76002
1,1,2,2,9,8,1,8,1,1,5,5,3,1,50,2,4,2,5,5
2,1,2,3,10,3,8,5,3,4,4,6,3,1,30,2,4,3,8,76003
3,1,2,3,1,10,1,5,1,10,1,10,2,1,29,3,4,4,1,76009
NA,1,2,3,1,1,1,7,1,1,1,1,4,1,74,1,4,2,10,76001
NA,1,2,3,1,1,1,2,1,5,1,5,3,1,31,2,4,1,5,NA
1,1,1,3,1,8,8,7,1,10,1,7,4,1,66,1,NA,1,5,76009
1,1,2,3,1,4,5,2,1,10,1,NA,4,1,22,1,NA,NA,5,4
1,1,3,3,5,4,1,7,1,NA,3,10,4,1,63,3,5,2,1,76004
1,2,2,3,1,7,1,1,7,1,1,7,4,1,36,1,5,3,10,4
1,2,2,NA,10,1,1,6,1,5,1,5,3,1,54,1,8,2,4,76023
2,3,2,3,10,1,1,2,1,1,1,10,3,1,68,1,5,0,NA,4
2,3,2,3,1,1,1,7,1,1,1,10,4,1,70,1,5,1,10,76023
2,1,2,3,1,10,1,NA,10,1,1,1,4,1,35,1,5,1,10,76004
2,1,2,3,1,7,1,1,10,1,1,1,4,1,25,1,5,2,NA,NA
3,1,3,2,10,1,2,6,1,10,6,10,4,1,42,1,5,0,5,4
1,1,2,3,8,6,10,2,3,8,1,5,3,1,40,1,8,1,5,76001
1,1,2,3,8,1,3,2,1,10,1,1,3,1,39,1,8,2,5,76002
1,1,2,1,10,1,2,2,1,9,1,1,3,1,22,2,8,4,5,4
1,1,2,3,10,1,10,2,1,10,1,10,4,1,50,1,8,2,10,76002
1,1,2,3,10,6,1,2,5,8,5,10,3,1,32,3,4,2,6,NA
3,1,1,1,5,1,1,6,1,7,6,8,4,1,24,3,8,3,10,4
2,1,1,3,10,1,3,6,3,1,1,3,3,1,23,1,8,3,7,4
1,2,2,3,2,8,7,1,2,10,1,10,2,1,71,1,8,3,NA,76002
1,2,2,3,3,8,3,6,1,8,1,5,3,1,73,1,8,1,NA,NA
2,1,2,3,10,2,1,2,1,5,1,7,4,1,44,2,8,1,NA,76002
2,1,2,3,1,5,5,6,5,5,5,5,2,1,21,3,8,1,NA,76002
1,1,2,3,8,7,8,6,1,10,1,10,4,1,42,2,8,2,8,76002
2,1,1,1,1,1,1,7,1,5,2,6,1,1,46,2,8,2,10,76023
1,1,2,3,10,9,5,8,2,10,10,10,2,1,28,2,8,2,1,76002
2,1,2,1,1,10,1,5,10,10,5,10,3,1,43,3,8,3,1,76002
1,1,2,3,1,1,1,6,1,10,1,9,3,1,39,2,8,2,1,76023
1,1,2,3,3,3,7,7,1,5,5,5,4,1,33,2,6,0,5,76002
1,2,2,3,8,6,6,8,1,2,1,NA,4,1,27,1,6,2,NA,76002
